AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
54,0.254,1138,'4 4BR+','1960-1979',54000
55,0.11135632179999999,807,'3 3BR','1980-1989',126000
43,0.1600615385,961,'4 4BR+','2000-2009',130000
86,0.20505617980000002,829,'3 3BR','1980-1989',0
52,0.2466889632,951,'4 4BR+','2000-2009',77000
64,0.1813110181,1077,'3 3BR','1980-1989',30000
45,0.24575,865,'3 3BR','1980-1989',48000
22,0.2753333333,531,'1 1BR','1980-1989',18000
53,0.10216420529999999,807,'3 3BR','1980-1989',134101
-9,-9.0,742,'1 1BR','2000-2009',-9
21,0.4223684211,742,'1 1BR','1980-1989',18240
64,0.2640471513,677,'2 2BR','2000-2009',0
28,0.2082,742,'1 1BR','1980-1989',40000
36,0.5923529411999999,882,'3 3BR','1980-1989',20400
30,0.1183255814,827,'2 2BR','1980-1989',60000
59,0.1852156603,1578,'3 3BR','1980-1989',150000
29,0.3504,1029,'4 4BR+','2000-2009',95000
-9,-9.0,610,'2 2BR','2000-2009',-9
43,0.1355,806,'3 3BR','2000-2009',32000
53,0.12142458099999999,847,'3 3BR','1980-1989',109000
-9,-9.0,1204,'4 4BR+','2000-2009',-9
52,0.05694050990000001,882,'3 3BR','2000-2009',64000
53,0.2570601014,833,'2 2BR','2000-2009',19000
29,0.13,833,'2 2BR','2000-2009',9600
26,0.7190000000000001,1204,'3 3BR','2000-2009',12000
-9,-9.0,1042,'3 3BR','2000-2009',-9
30,0.0844,633,'1 1BR','1960-1979',0
67,0.035321153,1024,'3 3BR','2000-2009',563968
-9,-9.0,1024,'3 3BR','2000-2009',-9
59,0.17848275859999999,1097,'4 4BR+','1980-1989',87000
40,0.4314285714,1042,'3 3BR','2000-2009',42000
47,0.0377802654,740,'2 2BR','2000-2009',485968
26,1.3995271868,1024,'3 3BR','1980-1989',13128
30,0.2833128834,1169,'4 4BR+','2000-2009',97500
57,5.452000000000001,1042,'3 3BR','2000-2009',0
43,0.1564556962,738,'3 3BR','2000-2009',79000
36,0.8584844858,1169,'4 4BR+','2000-2009',0
-9,-9.0,676,'1 1BR','1980-1989',-9
-9,-9.0,817,'2 2BR','1980-1989',-9
59,0.10120754720000001,968,'3 3BR','1990-1999',36000
83,0.2364356436,791,'3 3BR','1980-1989',0
52,0.3915,1625,'4 4BR+','1980-1989',120000
20,0.396,492,'1 1BR','1980-1989',16000
40,0.1451329787,880,'4 4BR+','1990-1999',150000
51,0.1363186368,1147,'3 3BR','2000-2009',99943
36,0.1450348432,935,'2 2BR','2000-2009',220000
30,0.5018823528999999,935,'2 2BR','2000-2009',34000
29,0.29072,935,'2 2BR','2000-2009',75000
33,0.2233714286,1291,'4 4BR+','2000-2009',140000
33,0.0632727273,823,'3 3BR','2000-2009',143000
38,1.0376,1294,'4 4BR+','2000-2009',28500
45,0.1136385542,1291,'4 4BR+','1980-1989',207500
17,0.43311411990000004,1294,'4 4BR+','2000-2009',13571
38,0.3564705882,1169,'4 4BR+','2000-2009',27200
52,0.09980487800000001,761,'3 3BR','1980-1989',82000
34,0.24375,797,'2 2BR','2000-2009',16000
60,0.2676,635,'2 2BR','2000-2009',0
-9,-9.0,635,'2 2BR','2000-2009',-9
-9,-9.0,1042,'3 3BR','2000-2009',-9
-9,-9.0,951,'4 4BR+','2000-2009',-9
57,0.2419270073,761,'2 2BR','1980-1989',68000
62,0.0984,757,'3 3BR','2000-2009',0
49,0.2946857143,757,'3 3BR','1980-1989',0
80,0.1530011769,606,'2 2BR','2000-2009',0
23,0.050152228099999994,670,'1 1BR','1980-1989',144000
31,0.18986666670000002,882,'3 3BR','2000-2009',45000
48,0.2686363636,882,'3 3BR','1980-1989',38000
-9,-9.0,1256,'3 3BR','1980-1989',-9
21,0.4664285714,993,'1 1BR','1980-1989',16800
36,0.34339393939999996,1262,'4 4BR+','2000-2009',99000
38,0.6605769231,858,'2 2BR','1980-1989',16000
34,0.1278652101,858,'2 2BR','1980-1989',108000
33,0.2220923077,966,'3 3BR','1980-1989',65000
50,0.6825249169,830,'3 3BR','2000-2009',3800
40,0.31216666670000004,1111,'4 4BR+','1980-1989',72000
27,0.368,485,'1 1BR','2000-2009',18000
47,0.1904144144,896,'4 4BR+','1980-1989',156500
34,0.14301705720000002,1011,'4 4BR+','2000-2009',510948
17,0.4469461078,671,'2 2BR','1990-1999',25050
41,0.2864,671,'2 2BR','1990-1999',60000
54,0.026289305099999997,878,'4 4BR+','1980-1989',488868
62,0.3143478261,840,'2 2BR','1980-1989',12000
38,0.4530612245,978,'3 3BR','1980-1989',24500
79,0.0938264285,672,'2 2BR','2000-2009',0
37,0.3548638132,646,'2 2BR','1980-1989',25700
39,0.1907294118,1119,'4 4BR+','1980-1989',85000
25,1.0092735703,1064,'2 2BR','1980-1989',0
42,0.5633333333,1064,'2 2BR','1980-1989',0
31,0.5094,583,'2 2BR','1980-1989',20000
