,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
146,37,0.9685472373,1430,'3 3BR','2000-2009',28382
147,73,0.22578572649999998,1891,'4 4BR+','2000-2009',60000
148,40,0.42054801979999995,1641,'4 4BR+','2000-2009',55000
149,53,0.1829294959,1584,'3 3BR','2000-2009',71500
150,22,0.3705815893,1075,'2 2BR','1980-1989',37200
151,53,0.0886262925,962,'3 3BR','1980-1989',42000
152,70,2.9017793594,1032,'3 3BR','2000-2009',0
153,30,0.21073044600000002,962,'3 3BR','2000-2009',65000
154,56,0.0572247974,657,'1 1BR','2000-2009',30000
155,56,0.0309955073,1059,'4 4BR+','1980-1989',109000
156,49,0.0821474868,1573,'4 4BR+','2000-2009',206010
157,49,0.0885156119,1573,'4 4BR+','2000-2009',354943
158,44,0.1384593288,949,'3 3BR','2000-2009',0
159,32,0.0167833823,773,'2 2BR','1980-1989',481943
160,41,0.3174963663,1259,'4 4BR+','2000-2009',88000
161,60,0.5425789818,1259,'4 4BR+','2000-2009',9000
162,76,0.1472324723,1115,'3 3BR','1980-1989',0
163,93,0.9825,1259,'4 4BR+','1990-1999',0
164,63,0.07240986719999999,849,'3 3BR','2000-2009',70000
165,57,0.2153973355,849,'3 3BR','1980-1989',75000
166,82,0.70125,1316,'2 2BR','1980-1989',0
167,68,0.11854744240000001,1639,'3 3BR','1980-1989',35000
168,61,0.36932537530000004,1056,'3 3BR','1980-1989',33200
169,52,0.1982198303,951,'3 3BR','2000-2009',26710
170,88,0.256,736,'2 2BR','1980-1989',0
171,38,0.20139151309999997,729,'2 2BR','2000-2009',45000
172,23,0.2967455529,730,'1 1BR','1980-1989',32000
173,31,0.4040899796,921,'3 3BR','2000-2009',22000
174,49,0.0736289869,1082,'4 4BR+','2000-2009',105000
175,42,0.2112846348,669,'2 2BR','1980-1989',32000
176,45,0.18575150070000002,1013,'3 3BR','2000-2009',53000
177,44,0.1684813023,1073,'4 4BR+','1980-1989',140000
178,74,0.2922857143,1012,'2 2BR','1990-1999',0
179,71,0.39417721520000004,1550,'3 3BR','2000-2009',8000
180,46,0.1627921449,1335,'2 2BR','2000-2009',225000
181,62,0.4614666459,1623,'3 3BR','2000-2009',45000
182,31,0.37552305,907,'3 3BR','1980-1989',28000
183,31,0.044278830400000004,907,'3 3BR','2000-2009',82000
184,64,0.041898208799999996,907,'3 3BR','1980-1989',150000
185,77,0.18496061649999998,1164,'3 3BR','1980-1989',0
186,58,0.6693975904,1282,'3 3BR','2000-2009',24000
187,42,0.0722553191,1282,'3 3BR','2000-2009',43000
188,26,0.7782745045999999,1129,'3 3BR','1980-1989',0
189,-9,-9.0,780,'2 2BR','1980-1989',-9
190,55,0.2259734414,1183,'2 2BR','1980-1989',40000
191,41,0.4751351351,566,'1 1BR','1980-1989',0
192,72,0.49323829189999996,566,'1 1BR','1980-1989',0
193,68,0.25907692309999997,1277,'3 3BR','2000-2009',25000
194,-9,-9.0,1025,'3 3BR','2000-2009',-9
195,-9,-9.0,767,'2 2BR','2000-2009',-9
196,-9,-9.0,1025,'3 3BR','2000-2009',-9
197,60,5.207999999999999,783,'2 2BR','1980-1989',0
198,82,0.395021645,1073,'3 3BR','1980-1989',0
199,30,0.2322754895,632,'1 1BR','1980-1989',40000
200,50,0.4085434989,956,'2 2BR','1980-1989',31000
201,70,0.1795687522,727,'2 2BR','1940-1959',0
202,19,0.1487858853,649,'2 2BR','1980-1989',33000
203,69,0.290917504,1277,'3 3BR','2000-2009',12000
204,43,0.17466200710000002,1435,'4 4BR+','2000-2009',170000
205,43,0.28510711899999996,976,'2 2BR','2000-2009',60000
206,26,0.4449714607,1438,'3 3BR','1980-1989',48000
207,43,0.41295338270000004,976,'2 2BR','1980-1989',35000
208,59,0.11541362599999999,1349,'4 4BR+','1980-1989',0
209,29,0.17766599019999998,1041,'3 3BR','1980-1989',64000
210,39,0.2201922566,1249,'4 4BR+','2000-2009',113000
211,55,0.1821747309,792,'2 2BR','2000-2009',75000
212,54,0.2695883447,1160,'4 4BR+','1980-1989',55000
213,59,0.0514329191,1082,'4 4BR+','1980-1989',95600
214,59,0.0829651193,1336,'4 4BR+','2000-2009',61000
215,29,0.033614566299999996,1336,'4 4BR+','2000-2009',60000
216,61,0.1531217215,1469,'4 4BR+','1980-1989',40000
217,68,0.3272446048,1204,'3 3BR','1980-1989',1300
218,53,0.10114724050000001,1116,'4 4BR+','2000-2009',341943
219,82,0.2482887368,997,'3 3BR','2000-2009',0
220,32,0.1431162799,997,'3 3BR','2000-2009',118000
221,62,0.028430779,535,'1 1BR','1980-1989',38000
222,-9,-9.0,700,'2 2BR','1980-1989',-9
223,50,0.5052055627,873,'3 3BR','2000-2009',13000
224,53,0.2368968425,1467,'4 4BR+','1980-1989',66667
225,28,0.17407448670000003,1060,'3 3BR','2000-2009',74934
226,-9,-9.0,1191,'1 1BR','2000-2009',-9
227,-9,-9.0,1149,'4 4BR+','1980-1989',-9
228,29,0.3007350889,1827,'4 4BR+','2000-2009',30000
229,49,0.25482441510000003,1592,'4 4BR+','2000-2009',57000
230,26,0.1404945759,748,'1 1BR','2000-2009',64000
231,35,0.2473522614,1592,'4 4BR+','2000-2009',58000
232,62,0.26331081079999996,1592,'4 4BR+','2000-2009',0
233,40,0.0268819969,1948,'4 4BR+','2000-2009',158291
234,33,0.2319170812,1948,'4 4BR+','2000-2009',72000
235,41,0.1466413917,1827,'4 4BR+','2000-2009',143000
236,56,0.4527777778,925,'2 2BR','1980-1989',0
237,63,0.090455525,1102,'3 3BR','2000-2009',99000
238,45,0.1754070073,1102,'3 3BR','2000-2009',80000
239,32,0.0992377319,1104,'2 2BR','1980-1989',238000
240,-9,-9.0,1104,'2 2BR','1980-1989',-9
241,68,0.8489218420999999,1204,'3 3BR','1980-1989',0
242,34,0.126974492,1129,'4 4BR+','1990-1999',145000
243,58,2.6573493976,897,'1 1BR','1980-1989',2000
244,33,0.1940391275,1430,'3 3BR','2000-2009',101400
245,-9,-9.0,1104,'2 2BR','2000-2009',-9
246,47,0.2592927002,1697,'4 4BR+','2000-2009',145000
247,59,0.240625,1627,'3 3BR','2000-2009',91470
248,25,0.17950000859999998,1104,'2 2BR','1980-1989',58000
249,35,0.5034186051,1710,'4 4BR+','2000-2009',53000
250,49,0.16710801390000002,768,'1 1BR','2000-2009',86000
251,45,0.3294811383,1430,'3 3BR','2000-2009',76000
252,76,0.3146030709,791,'2 2BR','1980-1989',0
253,30,0.2347600779,773,'2 2BR','2000-2009',49800
254,49,0.1132896851,1877,'3 3BR','2000-2009',115000
255,81,0.2506864564,1410,'2 2BR','1990-1999',0
256,31,0.3353454058,1877,'3 3BR','2000-2009',85000
257,81,0.1836165356,1135,'1 1BR','1980-1989',71000
258,44,0.1590516697,934,'3 3BR','1990-1999',95000
259,41,0.3036603221,1056,'3 3BR','1980-1989',31993
260,52,0.2151040182,1153,'3 3BR','2000-2009',20223
261,38,0.1112623086,1328,'4 4BR+','1980-1989',260000
262,85,0.3179695431,1955,'3 3BR','1980-1989',0
263,54,0.2264579447,951,'3 3BR','1980-1989',37000
264,61,0.2939086294,615,'1 1BR','1980-1989',25000
265,56,0.3156709885,643,'1 1BR','1980-1989',24000
266,35,0.324183234,643,'1 1BR','1980-1989',23000
267,45,0.2865,1209,'4 4BR+','2000-2009',60000
